16,crc16-lj1200,,,,,0x6f63,0x0000,false,false,0x0000,0xbdf4,0x0000
16,crc16-maxim-dow,crc16-maxim,,,,0x8005,0x0000,true,true,0xffff,0x44c2,0xb001
16,crc16-mcrf4xx,,,,,0x1021,0xffff,true,true,0x0000,0x6f91,0x0000
16,crc16-modbus,,,,,0x8005,0xffff,true,true,0x0000,0x4b37,0x0000
16,crc16-nrsc-5,,,,,0x080b,0xffff,true,true,0x0000,0xa066,0x0000
16,crc16-opensafety-a,,,,,0x5935,0x0000,false,false,0x0000,0x5d38,0x0000
16,crc16-opensafety-b,,,,,0x755b,0x0000,false,false,0x0000,0x20fe,0x0000
16,crc16-profibus,crc16-iec-61158-2,,,,0x1dcf,0xffff,false,false,0xffff,0xa819,0xe394
16,crc16-riello,,,,,0x1021,0xb2aa,true,true,0x0000,0x63d0,0x0000
16,crc16-spi-fujitsu,crc16-aug-ccitt,,,,0x1021,0x1d0f,false,false,0x0000,0xe5cc,0x0000
16,crc16-t10-dif,,,,,0x8bb7,0x0000,false,false,0x0000,0xd0db,0x0000
16,crc16-teledisk,,,,,0xa097,0x0000,false,false,0x0000,0x0fb3,0x0000
16,crc16-tms37157,,,,,0x1021,0x89ec,true,true,0x0000,0x26b1,0x0000
16,crc16-umts,crc16-buypass,crc16-verifone,,,0x8005,0x0000,false,false,0x0000,0xfee8,0x0000
16,crc16-usb,,,,,0x8005,0xffff,true,true,0xffff,0xb4c8,0xb001
16,crc16-xmodem,crc16-acorn,crc16-lte,crc16-v41-msb,crc16-zmodem,0x1021,0x0000,false,false,0x0000,0x31c3,0x0000
17,crc17-can-fd,,,,,0x1685b,0x00000,false,false,0x00000,0x04f03,0x00000
21,crc21-can-fd,,,,,0x102899,0x000000,false,false,0x000000,0x0ed841,0x000000
24,crc24-ble,,,,,0x00065b,0x555555,true,true,0x000000,0xc25a56,0x000000
24,crc24-flexray-a,,,,,0x5d6dcb,0xfedcba,false,false,0x000000,0x7979bd,0x000000
24,crc24-flexray-b,,,,,0x5d6dcb,0xabcdef,false,false,0x000000,0x1f23b8,0x000000
24,crc24-interlaken,,,,,0x328b63,0xffffff,false,false,0xffffff,0xb4f3e6,0x144e63
24,crc24-lte-a,,,,,0x864cfb,0x000000,false,false,0x000000,0xcde703,0x000000
24,crc24-lte-b,,,,,0x800063,0x000000,false,false,0x000000,0x23ef52,0x000000
24,crc24-openpgp,,,,,0x864cfb,0xb704ce,false,false,0x000000,0x21cf02,0x000000
24,crc24-os-9,,,,,0x800063,0xffffff,false,false,0xffffff,0x200fa5,0x800fe3
30,crc30-cdma,,,,,0x2030b9c7,0x3fffffff,false,false,0x3fffffff,0x04c34abf,0x34efa55a
31,crc31-philips,,,,,0x04c11db7,0x7fffffff,false,false,0x7fffffff,0x0ce9e46c,0x4eaf26f1
32,crc32-aixm,crc32q,,,,0x814141ab,0x00000000,false,false,0x00000000,0x3010bf7f,0x00000000
32,crc32-autosar,,,,,0xf4acfb13,0xffffffff,true,true,0xffffffff,0x1697d06a,0x904cddbf
32,crc32-base91-d,crc32d,,,,0xa833982b,0xffffffff,true,true,0xffffffff,0x87315576,0x45270551
32,crc32-bzip2,crc32-aal5,crc32-dect-b,crc32b,,0x04c11db7,0xffffffff,false,false,0xffffffff,0xfc891918,0xc704dd7b
32,crc32-cdrom-edc,,,,,0x8001801b,0x00000000,true,true,0x00000000,0x6ec2edc4,0x00000000
32,crc32-cksum,crc32-posix,,,,0x04c11db7,0x00000000,false,false,0xffffffff,0x765e7680,0xc704dd7b
32,crc32-iscsi,crc32-base91-c,crc32-castagnoli,crc32-interlaken,crc32c,0x1edc6f41,0xffffffff,true,true,0xffffffff,0xe3069283,0xb798b438
32,crc32-iso-hdlc,crc32-adccp,crc32-v42,crc32-xz,crc32-pkzip,0x04c11db7,0xffffffff,true,true,0xffffffff,0xcbf43926,0xdebb20e3
32,crc32-jamcrc,,,,,0x04c11db7,0xffffffff,true,true,0x00000000,0x340bc6d9,0x00000000
32,crc32-mpeg2,,,,,0x04c11db7,0xffffffff,false,false,0x00000000,0x0376e6e7,0x00000000
32,crc32-xfer,,,,,0x000000af,0x00000000,false,false,0x00000000,0xbd0be338,0x00000000
40,crc40-gsm,,,,,0x0004820009,0x0000000000,false,false,0xffffffffff,0xd4164fc646,0xc4ff8071ff
64,crc64-ecma-182,,,,,0x42f0e1eba9ea3693,0x0000000000000000,false,false,0x0000000000000000,0x6c40df5f0b497347,0x0000000000000000
64,crc64-go-iso,,,,,0x000000000000001b,0xffffffffffffffff,true,true,0xffffffffffffffff,0xb90956c775a41001,0x5300000000000000
64,crc64-we,,,,,0x42f0e1eba9ea3693,0xffffffffffffffff,false,false,0xffffffffffffffff,0x62ec59e3f1a4f00a,0xfcacbebd5931a992
64,crc64-xz,crc64-go-ecma,,,,0x42f0e1eba9ea3693,0xffffffffffffffff,true,true,0xffffffffffffffff,0x995dc9bbdf1939fa,0x49958c9abd7d353f
